Funds	
null	
Price search	

Instrument's name	ISIN	Euronext code	Market	Symbol	Trading currency	Last	Volume	D/D-1 (%)	Date - time (CET)	Turnover	Trading mode	Day First	Day High	Day High / Date - time (CET)	Day Low	Day Low / Date - time (CET)	 31-12/Change (%)	 31-12/High	 31-12/High/Date	 31-12/Low	 31-12/Low/Date	 52 weeks/Change (%)	 52 weeks/High	 52 weeks/High/Date	 52 weeks/Low	 52 weeks/Low/Date	Halted	Halted / Date - time (CET)	Halted	Halted / Date - time (CET)
ING BIOTECHN FD	NL0006311722	NL0006311722	AMS	INGBT	EUR	11.9	405	0.51	16/07/09 10:00	4 820	null	11.9	11.9	16/07/09 10:00	11.9	16/07/09 10:00	-0.75	13.74	09/02/09	11.13	10/03/09	-9.16	15.28	18/08/08	11.13	10/03/09	-	-	-	-
ING DAILY CONSGD8	NL0000289767	NL0000289767	AMS	INGDC	EUR	33.75	6 198	1.23	16/07/09 10:00	209 183	null	33.75	33.75	16/07/09 10:00	33.75	16/07/09 10:00	10.22	33.89	19/05/09	28.51	20/03/09	1.93	37.65	12/09/08	28.51	20/03/09	-	-	-	-
ING DUTCH FD 11	NL0000287993	NL0000287993	AMS	INGDF	EUR	35.84	4 711	3.55	16/07/09 10:00	168 842	null	35.84	35.84	16/07/09 10:00	35.84	16/07/09 10:00	1.59	39.49	03/06/09	28.94	10/03/09	-34.79	58.11	03/09/08	28.94	10/03/09	-	-	-	-
ING DYN MIX1 FD	NL0000293140	NL0000293140	AMS	MIX1	EUR	23.22	441	0	16/07/09 10:00	10 240	null	23.22	23.22	16/07/09 10:00	23.22	16/07/09 10:00	0.3	24	19/05/09	22.8	27/01/09	-0.17	24	19/05/09	22.73	16/10/08	-	-	-	-
ING DYN MIX2 FD	NL0000293157	NL0000293157	AMS	MIX2	EUR	20.82	1 886	0.34	16/07/09 10:00	39 267	null	20.82	20.82	16/07/09 10:00	20.82	16/07/09 10:00	2.11	21.5	02/06/09	19.61	10/03/09	-4.50	22.48	02/09/08	19.61	10/03/09	-	-	-	-
ING DYN MIX3 FD	NL0000293165	NL0000293165	AMS	MIX3	EUR	18.25	4 563	0.66	16/07/09 10:00	83 275	null	18.25	18.25	16/07/09 10:00	18.25	16/07/09 10:00	4.29	18.8	02/06/09	16.38	10/03/09	-8.25	20.82	02/09/08	16.38	10/03/09	-	-	-	-
ING DYN MIX4 FD	NL0000293173	NL0000293173	AMS	MIX4	EUR	16.39	3 968	0.99	16/07/09 10:00	65 036	null	16.39	16.39	16/07/09 10:00	16.39	16/07/09 10:00	5.67	16.92	02/06/09	14.11	10/03/09	-12.63	19.87	02/09/08	14.11	10/03/09	-	-	-	-
ING DYN MIX5 FD	NL0000293181	NL0000293181	AMS	MIX5	EUR	13.97	6 173	1.6	16/07/09 10:00	86 237	null	13.97	13.97	16/07/09 10:00	13.97	16/07/09 10:00	7.13	14.43	02/06/09	11.54	10/03/09	-16.75	17.99	02/09/08	11.54	10/03/09	-	-	-	-
ING DZ AAND FD	NL0006311789	NL0006311789	AMS	INGDZ	EUR	12.55	12 487	2.03	16/07/09 10:00	156 712	null	12.55	12.55	16/07/09 10:00	12.55	16/07/09 10:00	10.18	12.77	15/06/09	10.01	10/03/09	-16.11	16.22	29/08/08	10.01	10/03/09	-	-	-	-
ING EMRG ESTEUR FD	NL0000292225	NL0000292225	AMS	INGEE	EUR	37.86	3 600	3.7	16/07/09 10:00	136 296	null	37.86	37.86	16/07/09 10:00	37.86	16/07/09 10:00	20.84	46.5	02/06/09	26.05	19/02/09	-53.47	81.39	18/07/08	26.05	19/02/09	-	-	-	-
